model,rank,rank-aggregation,energy-diff-flip-times,tortuosity,spearman-compression-energy,spearman-compression-derivative,spearman-tension-energy,missing,energy-diff-flip-times-std,tortuosity-std,spearman-compression-energy-std,spearman-compression-derivative-std,spearman-tension-energy-std
MACE-MPA,1,7,1.0370741482965933,1.005455197941088,-0.9993684338373716,0.9963320580555048,0.993186372745491,2,0.28260902337559207,0.05365793240575371,0.01247051827833709,0.03852356148675327,0.07744103059608153
eSEN,2,15,1.042211055276382,1.0082267858369258,-0.9993299832495811,0.9968570123343992,0.9920968478757424,5,0.31435657463218236,0.09009343693321628,0.012254373724862471,0.03683033142639347,0.07346152527758068
MACE-MP(M),3,20,1.042211055276382,1.008986842539345,-0.999329983249581,0.9941160347190496,0.9915857612939804,5,0.3448779209525529,0.1291612188691875,0.011378760248143813,0.059100297945675236,0.0879944289437058
MatterSim,4,22,1.045135406218656,1.0060900449752808,-0.99734962463147,0.9927904926901917,0.9880977115916667,3,0.376211439097473,0.055231139063835144,0.03888149868978045,0.07797796889169765,0.11523169167576831
CHGNet,5,27,1.1053159478435306,1.014753469076796,-0.9964985866690981,0.9929971733381963,0.9866417434120545,3,0.5395426308257233,0.12255069852201543,0.051058628207987275,0.05245296840977506,0.11650035215147045
SevenNet,6,32,1.1093279839518555,1.0186969977862483,-0.9981277164827815,0.9889121911188109,0.9859580417030127,3,0.5552625647497746,0.2749956370938698,0.025627387238441334,0.07657439969351316,0.11715556163493943
M3GNet,7,38,1.1748743718592964,1.0175007963267957,-0.9963209989340641,0.9897426526572255,0.9801690217498693,5,0.6755070078112404,0.1488462321310986,0.05166730302469224,0.06468954475570607,0.1332400556108672
ORBv2,8,48,1.3162134944612287,1.0374718753890275,-0.9918459519667977,0.9701425127407,0.9637462235649547,7,0.8699212994733451,0.2149179445701606,0.08208261674781654,0.1315974423719716,0.19758814985102582
